"","GISJOIN","STATE","state_county","YEAR","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","South American","Other Hispanic or Latino","Total Hispanic or Latino","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"91","G1700310062600","Illinois","17031",2000,134,13,14,0,6,9,12,188,0,3,0,0,2,0,1,0,2,0,0,6,0,0,0,0,1,0,0,0,12,"Cook"
"92","G1700310062700","Illinois","17031",2000,191,55,13,0,24,15,23,321,0,20,0,1,2,1,0,2,0,4,8,0,0,0,0,1,0,0,3,0,20,"Cook"
"93","G1700310062800","Illinois","17031",2000,144,46,13,3,13,25,16,260,1,11,1,0,0,0,0,0,0,0,9,10,0,1,0,4,1,1,2,0,13,"Cook"
"94","G1700310062900","Illinois","17031",2000,118,46,10,1,11,18,33,237,0,7,0,0,1,3,0,0,0,0,8,4,0,1,0,0,5,4,6,2,21,"Cook"
"95","G1700310063000","Illinois","17031",2000,86,29,10,0,10,25,34,194,0,8,0,0,0,1,1,2,1,0,9,3,1,5,0,1,3,4,4,0,26,"Cook"
"96","G1700310063100","Illinois","17031",2000,143,20,5,0,4,31,27,230,0,3,0,0,0,1,0,4,3,1,7,8,0,6,0,1,1,1,6,0,20,"Cook"
"97","G1700310063200","Illinois","17031",2000,168,40,38,8,9,41,57,361,1,7,0,0,1,0,0,5,1,3,11,7,0,3,0,5,6,7,11,0,39,"Cook"
"98","G1700310063300","Illinois","17031",2000,141,72,26,2,13,48,70,372,0,4,3,2,1,3,0,8,2,5,7,4,1,7,2,6,6,3,19,0,48,"Cook"
"99","G1700310063400","Illinois","17031",2000,79,19,8,2,5,16,25,154,0,1,0,0,2,0,2,4,2,3,2,1,0,3,0,0,1,1,9,0,15,"Cook"
"100","G1700310070100","Illinois","17031",2000,143,46,10,6,16,53,38,312,1,5,0,5,0,1,4,11,7,1,10,10,0,9,1,3,1,9,7,0,22,"Cook"
"101","G1700310070200","Illinois","17031",2000,66,22,5,0,16,13,22,144,8,3,2,2,1,0,0,0,3,1,3,4,0,2,0,0,0,0,4,1,17,"Cook"
"102","G1700310070300","Illinois","17031",2000,129,40,4,0,6,11,21,211,0,3,0,0,3,0,0,1,0,0,8,0,0,1,0,1,0,2,5,0,14,"Cook"
"103","G1700310070400","Illinois","17031",2000,45,33,22,0,7,11,6,124,1,0,6,0,0,0,0,3,0,0,3,0,1,3,0,1,0,0,0,0,6,"Cook"
"104","G1700310070500","Illinois","17031",2000,60,30,9,7,5,5,9,125,0,2,2,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,7,0,2,"Cook"
"105","G1700310070600","Illinois","17031",2000,209,22,6,0,1,13,17,268,0,1,0,0,0,0,0,3,0,0,2,1,0,2,0,1,4,0,4,0,13,"Cook"
