"","GISJOIN","YEAR","STATE","COUNTY","state_county","Mexican","total_pop","total_his"
"1436","G17004308454",1990,"Illinois","Dupage","17043",62,6614,118
"1437","G1700430845501",1990,"Illinois","Dupage","17043",251,10253,366
"1438","G1700430845503",1990,"Illinois","Dupage","17043",88,7349,154
"1439","G1700430845504",1990,"Illinois","Dupage","17043",76,7489,134
"1440","G17004308456",1990,"Illinois","Dupage","17043",159,9182,221
"1441","G1700430845701",1990,"Illinois","Dupage","17043",348,9325,464
"1442","G1700430845702",1990,"Illinois","Dupage","17043",128,9928,186
"1443","G1700430845801",1990,"Illinois","Dupage","17043",109,13010,184
"1444","G1700430845803",1990,"Illinois","Dupage","17043",88,4678,167
"1445","G1700430845804",1990,"Illinois","Dupage","17043",198,8263,274
"1446","G1700430845805",1990,"Illinois","Dupage","17043",52,3666,89
"1447","G17004308459",1990,"Illinois","Dupage","17043",51,5483,106
"1448","G1700430846001",1990,"Illinois","Dupage","17043",112,7038,167
"1449","G1700430846002",1990,"Illinois","Dupage","17043",86,4106,115
"1450","G1700430846101",1990,"Illinois","Dupage","17043",44,6196,117
"1451","G1700430846102",1990,"Illinois","Dupage","17043",180,4336,241
"1452","G1700430846103",1990,"Illinois","Dupage","17043",123,9205,201
"1453","G1700430846203",1990,"Illinois","Dupage","17043",88,8872,178
"1454","G1700430846204",1990,"Illinois","Dupage","17043",38,6887,77
"1455","G1700430846205",1990,"Illinois","Dupage","17043",61,9249,148
"1456","G1700430846206",1990,"Illinois","Dupage","17043",28,4287,38
"1457","G1700430846207",1990,"Illinois","Dupage","17043",54,5830,85
"1458","G1700430846301",1990,"Illinois","Dupage","17043",50,6579,119
"1459","G1700430846302",1990,"Illinois","Dupage","17043",102,7891,154
"1460","G1700430846304",1990,"Illinois","Dupage","17043",49,3608,68
"1461","G1700430846305",1990,"Illinois","Dupage","17043",449,11238,585
"1462","G1700430846306",1990,"Illinois","Dupage","17043",307,13130,496
"1463","G1700430846401",1990,"Illinois","Dupage","17043",118,6415,193
"1464","G1700430846403",1990,"Illinois","Dupage","17043",69,5217,101
"1465","G1700430846404",1990,"Illinois","Dupage","17043",89,8116,174
"1466","G1700430846501",1990,"Illinois","Dupage","17043",257,13045,482
"1467","G1700430846503",1990,"Illinois","Dupage","17043",76,10625,204
"1468","G1700430846504",1990,"Illinois","Dupage","17043",96,6115,132
"1469","G17008908501",1990,"Illinois","Kane","17089",245,5150,307
"1470","G1700890850201",1990,"Illinois","Kane","17089",732,5644,901
"1471","G1700890850202",1990,"Illinois","Kane","17089",886,6094,1073
"1472","G1700890850301",1990,"Illinois","Kane","17089",873,6932,1162
"1473","G1700890850302",1990,"Illinois","Kane","17089",422,3934,551
"1474","G17008908504",1990,"Illinois","Kane","17089",46,2414,50
"1475","G17008908505",1990,"Illinois","Kane","17089",30,3608,69
"1476","G17008908506",1990,"Illinois","Kane","17089",63,5294,94
"1477","G1700890850701",1990,"Illinois","Kane","17089",54,5504,82
"1478","G1700890850702",1990,"Illinois","Kane","17089",99,5467,139
"1479","G17008908508",1990,"Illinois","Kane","17089",566,5931,756
"1480","G17008908509",1990,"Illinois","Kane","17089",334,1015,415
"1481","G17008908510",1990,"Illinois","Kane","17089",324,6413,446
"1482","G17008908511",1990,"Illinois","Kane","17089",767,7373,941
"1483","G17008908512",1990,"Illinois","Kane","17089",148,367,175
"1484","G17008908513",1990,"Illinois","Kane","17089",3870,10105,4724
"1485","G17008908514",1990,"Illinois","Kane","17089",1888,6601,2350
"1486","G17008908515",1990,"Illinois","Kane","17089",280,1011,365
"1487","G17008908516",1990,"Illinois","Kane","17089",382,5850,567
"1488","G17008908517",1990,"Illinois","Kane","17089",16,978,57
