"","GISJOIN","STATE","state_county","YEAR","Total Hispanic or Latino","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"210","G1700310170500","Illinois","17031",2010,958,427,343,14,6,68,0,37,12,7,6,6,0,62,1,0,1,20,22,0,13,0,5,0,38,6,2,0,30,"Cook"
"211","G1700310170600","Illinois","17031",2010,360,161,120,12,0,27,1,15,3,0,0,7,1,24,0,0,0,3,13,0,7,0,1,0,16,11,0,0,5,"Cook"
"212","G1700310170700","Illinois","17031",2010,524,302,115,7,5,49,0,38,2,1,0,2,6,33,1,0,3,4,19,0,6,0,0,0,13,0,0,1,12,"Cook"
"213","G1700310170800","Illinois","17031",2010,800,432,213,16,1,41,0,29,4,0,2,6,0,79,0,2,0,34,28,0,11,0,2,2,18,0,1,0,17,"Cook"
"214","G1700310170900","Illinois","17031",2010,494,276,140,7,1,28,3,17,3,0,0,5,0,27,1,0,0,4,9,1,12,0,0,0,15,0,1,0,14,"Cook"
"215","G1700310171000","Illinois","17031",2010,1772,832,523,58,5,144,3,96,7,14,1,21,2,160,6,4,10,42,66,0,29,0,3,0,50,4,1,0,45,"Cook"
"216","G1700310171100","Illinois","17031",2010,1541,909,403,13,4,84,0,59,8,0,1,15,1,104,0,3,0,21,58,0,17,0,0,5,24,1,2,0,21,"Cook"
"217","G1700310180100","Illinois","17031",2010,2670,1566,643,24,14,194,4,115,22,11,0,42,0,182,4,2,1,71,63,0,23,0,8,10,47,3,5,0,39,"Cook"
"218","G1700310190100","Illinois","17031",2010,1964,1398,299,13,0,117,4,73,17,1,2,20,0,112,2,1,0,8,78,0,23,0,0,0,25,2,0,0,23,"Cook"
"219","G1700310190200","Illinois","17031",2010,4597,2766,990,41,1,351,1,203,38,30,1,78,0,329,6,0,1,43,249,0,30,0,0,0,119,14,16,4,85,"Cook"
